912	512	19
928	-64	39
1008	-208	60
1008	-128	81
1024	16	99
1104	-256	117
1136	96	136
1200	-192	157
1312	0	179
1376	-128	200
1392	112	221
1440	96	241
1472	32	263
1472	16	284
1440	112	305
1440	160	326
1360	64	347
1312	208	367
1248	128	385
1200	128	407
1088	96	428
1024	192	450
1024	160	471
960	192	492
944	160	513
928	192	533
912	176	553
960	192	573
992	128	593
1040	192	611
1088	144	630
1136	112	649
1184	144	671
1296	96	693
1328	96	713
1376	96	733
1392	48	755
1440	32	774
1440	16	792
1424	0	810
1408	-32	829
1376	16	850
1296	-48	872
1248	-64	893
1200	-80	914
1136	-64	935
1056	-96	956
1008	-128	977
992	-112	998
960	-128	1018
960	-80	1037
960	-128	1059
976	-96	1080
976	-96	1101
1088	-64	1122
1120	-112	1141
1168	-48	1163
1216	-64	1184
1312	-16	1205
1344	-32	1225
1376	16	1245
1392	32	1265
1408	48	1285
1408	48	1306
1392	80	1327
1376	64	1349
1312	112	1370
1264	112	1388
1216	144	1407
1152	112	1425
1136	176	1443
1024	144	1464
1008	192	1485
960	144	1506
928	176	1527
944	176	1549
944	144	1569
976	160	1589
992	112	1609
1056	192	1630
1104	96	1648
1136	144	1666
1200	160	1685
1264	64	1706
1344	48	1727
1360	80	1748
1376	80	1768
1392	0	1788
1392	16	1806
1392	16	1825
1376	0	1844
1328	-64	1865
1280	-48	1883
1200	-48	1905
1168	-80	1926
1120	-96	1948
1072	-96	1969
1008	-96	1990
976	-112	2011
960	-112	2032
960	-112	2053
976	-96	2072
992	-112	2092
1008	-80	2113
1072	-112	2135
1136	-80	2156
1184	-80	2177
1216	16	2196
1264	-64	2218
1328	16	2239
1360	-16	2262
1376	32	2280
1392	16	2300
1376	32	2318
1376	64	2338
1360	112	2356
1312	80	2376
1264	128	2398
1184	144	2419
1136	128	2440
1088	144	2460
1040	144	2481
976	160	2501
960	144	2521
960	192	2540
944	144	2560
960	160	2581
976	128	2602
1008	176	2622
1040	112	2642
1136	96	2662
1168	144	2682
1216	128	2702
1248	80	2721
1328	32	2742
1344	96	2763
1360	48	2784
1392	16	2805
1376	-16	2825
1360	0	2847
1328	-32	2868
1296	-32	2889
1216	-64	2910
1184	-48	2928
1152	-96	2950
1088	-80	2971
1040	-96	2993
992	-96	3014
976	-112	3035
976	-128	3056
976	-96	3074
992	-80	3093
1008	-112	3112
1040	-64	3130
1072	-112	3152
1152	-48	3173
1184	-64	3194
1216	-32	3215
1264	-48	3236
1328	-16	3257
1344	16	3278
1360	32	3299
1360	32	3320
1344	48	3340
1328	96	3359
1296	80	3381
1264	96	3402
1200	96	3423
1152	160	3444
1104	144	3463
1072	144	3485
1008	160	3505
976	176	3525
976	144	3546
960	144	3566
960	160	3585
976	160	3606
992	128	3627
1040	160	3648
1104	128	3670
1152	144	3690
1184	64	3710
1216	112	3730
1280	48	3751
1312	80	3772
1328	32	3790
1344	48	3811
1344	16	3830
1328	16	3853
1312	-48	3874
1264	-48	3895
1216	-48	3916
1184	-64	3937
1152	-80	3958
1072	-96	3979
1040	-80	3997
1008	-112	4019
992	-80	4040
992	-112	4061
976	-80	4082
992	-96	4103
1008	-80	4123
1056	-64	4144
1088	-80	4165
1136	-64	4185
1152	-48	4204
1200	-64	4226
1264	-16	4247
1296	-16	4269
1312	0	4290
1328	48	4309
1344	48	4327
1328	32	4347
1312	96	4365
1312	64	4384
1248	96	4401
1216	96	4420
1152	128	4441
1120	112	4462
1088	144	4483
1056	128	4505
1008	160	4526
976	144	4546
976	160	4566
976	160	4586
992	128	4606
992	144	4625
1024	144	4643
1056	128	4662
1088	144	4683
1152	112	4704
1200	112	4725
1232	80	4745
1264	80	4762
1312	64	4780
1328	48	4800
1328	32	4821
1328	32	4842
1312	0	4860
1280	-16	4881
1264	-48	4902
1232	-32	4922
1184	-64	4943
1120	-64	4964
1088	-96	4985
1056	-96	5006
1024	-80	5025
992	-96	5044
992	-96	5065
976	-112	5086
992	-96	5107
1024	-96	5129
1056	-80	5147
1072	-80	5165
1104	-64	5185
1152	-64	5206
1200	-16	5227
1248	-32	5247
1264	0	5271
1312	16	5292
1312	32	5313
1312	32	5334
1296	64	5356
1280	80	5377
1248	112	5398
1216	80	5419
1200	128	5439
1136	128	5459
1088	128	5476
1072	144	5494
1040	144	5513
1008	128	5534
976	128	5555
960	160	5577
976	144	5597
992	128	5618
1024	128	5638
1040	128	5656
1072	128	5676
1104	112	5694
1136	112	5712
1184	96	5733
1232	80	5755
1264	80	5776
1280	48	5797
1312	32	5817
1312	16	5837
1312	16	5858
1296	0	5876
1264	-16	5896
1216	-48	5917
1184	-48	5937
1168	-64	5955
1120	-64	5975
1072	-64	5996
1040	-96	6017
1008	-96	6038
1008	-80	6059
992	-96	6078
992	-80	6097
1008	-80	6119
1024	-80	6140
1072	-64	6161
1088	-80	6183
1120	-48	6202
1168	-48	6224
1216	-16	6245
1248	-16	6266
1264	0	6287
1296	0	6307
1296	16	6325
1296	32	6346
1280	80	6368
1264	48	6389
1216	96	6411
1200	96	6432
1152	128	6452
1120	112	6472
1072	128	6492
1040	128	6518
1024	144	6536
1008	128	6554
992	144	6573
976	144	6593
992	144	6612
1008	128	6635
1008	144	6655
1072	128	6675
1088	112	6695
1120	112	6714
1152	112	6733
1184	80	6754
1232	80	6775
1264	48	6796
1280	48	6817
1296	32	6836
1280	16	6859
1280	0	6880
1248	0	6901
1200	-32	6922
1184	-48	6943
1152	-64	6963
1120	-64	6983
1072	-64	7001
1040	-80	7022
1024	-96	7043
1008	-80	7064
992	-96	7085
1008	-80	7106
1008	-80	7127
1024	-96	7147
1072	-64	7167
1088	-64	7187
1120	-48	7206
1152	-48	7227
1200	-32	7249
1232	-16	7271
1248	0	7292
1264	0	7312
1280	32	7333
1280	48	7353
1264	64	7374
1248	64	7392
1216	80	7410
1184	128	7429
1168	96	7451
1136	96	7470
1088	160	7494
1040	128	7514
1040	144	7535
1008	128	7554
992	128	7575
992	144	7593
992	128	7611
1008	144	7629
1024	112	7650
1040	128	7672
1088	112	7693
1120	112	7714
1152	80	7734
1168	112	7756
1216	48	7777
1248	64	7798
1248	64	7819
1264	32	7837
1264	32	7858
1248	-16	7879
1248	-16	7900
1232	0	7921
1184	-48	7942
1152	-48	7961
1120	-48	7980
1088	-80	7999
1072	-64	8017
1056	-80	8039
1024	-80	8060
1008	-96	8082
1008	-80	8103
1008	-80	8124
1024	-64	8142
1040	-80	8162
1056	-48	8181
1088	-64	8207
1136	-48	8225
1168	-32	8247
1184	-16	8268
1216	-32	8290
1248	0	8311
1248	16	8332
1264	32	8353
1264	32	8373
1248	64	8393
1216	80	8412
1200	80	8431
1184	96	8452
1136	96	8473
1104	128	8494
1072	128	8516
1040	128	8535
1008	128	8557
1008	128	8577
992	128	8597
992	144	8615
1008	128	8637
1008	128	8658
1040	112	8680
1056	112	8700
1120	96	8723
1136	96	8743
1168	96	8764
1184	80	8782
1232	64	8801
1232	48	8819
1248	32	8837
1248	32	8858
1248	16	8879
1232	0	8900
1216	-16	8921
1200	-16	8942
1168	-32	8963
1120	-48	8989
1104	-64	9010
1088	-64	9031
1056	-64	9055
1024	-80	9076
1024	-80	9097
1008	-80	9118
1008	-64	9139
1024	-64	9160
1040	-80	9181
1056	-48	9202
1104	-32	9223
1120	-48	9243
1152	-32	9262
1184	-16	9280
1216	0	9301
1232	0	9322
1232	32	9343
1248	32	9365
1232	64	9384
1232	64	9407
1216	80	9427
1200	64	9447
1152	112	9467
1136	96	9485
1104	128	9503
1088	112	9522
1056	128	9542
1024	128	9565
1008	144	9587
1008	112	9607
1008	144	9627
1008	128	9648
1024	128	9669
1040	112	9687
1056	128	9709
1104	96	9730
1136	112	9751
1152	80	9772
1184	80	9793
1216	64	9813
1216	48	9834
1232	32	9855
1232	32	9876
1232	16	9895
1216	-16	9914
1200	-16	9935
1184	-32	9956
1152	-32	9977
1120	-64	9997
1104	-48	10016
1072	-64	10038
1040	-64	10059
1040	-80	10080
1024	-64	10101
1008	-80	10119
1024	-64	10140
1024	-64	10161
1040	-80	10182
1072	-48	10203
1104	-64	10222
