1392	-48	19
1520	-80	39
1744	-48	60
1824	0	81
1920	16	102
1952	80	120
2000	112	140
1936	176	163
1904	112	184
1824	256	205
1600	192	226
1440	304	247
1328	192	268
1200	240	289
976	240	310
880	256	329
800	304	348
752	256	366
720	240	384
704	304	402
720	224	421
816	240	442
896	240	463
992	272	484
1120	192	503
1328	192	525
1472	208	546
1584	160	566
1680	144	587
1856	128	605
1904	96	623
1936	64	642
1936	32	662
1904	32	685
1792	-32	704
1680	-48	726
1584	-80	747
1440	-80	768
1216	-96	789
1104	-144	807
1008	-192	829
928	-144	850
800	-208	872
768	-176	893
768	-176	914
784	-176	935
864	-144	956
944	-128	977
1024	-176	998
1136	-160	1017
1376	-32	1036
1488	-96	1057
1584	0	1078
1680	-48	1099
1824	48	1120
1872	48	1139
1888	96	1161
1856	192	1182
1808	96	1203
1728	224	1223
1616	160	1243
1408	224	1262
1296	208	1284
1184	272	1305
1088	192	1326
960	224	1348
816	288	1369
784	224	1387
752	288	1407
736	256	1425
752	272	1445
848	208	1464
896	256	1485
1024	240	1506
1120	192	1527
1344	176	1548
1456	208	1568
1536	144	1588
1744	128	1608
1792	112	1629
1840	96	1647
1856	48	1664
1856	64	1683
1824	0	1704
1696	-32	1725
1600	-48	1746
1520	-80	1766
1408	-112	1787
1200	-128	1806
1088	-128	1825
992	-144	1844
928	-144	1862
864	-192	1884
784	-208	1905
784	-176	1927
800	-128	1948
848	-160	1969
960	-144	1990
1040	-112	2011
1152	-160	2032
1248	-64	2053
1488	-80	2071
1552	-16	2091
1648	-32	2109
1728	32	2130
1776	16	2151
1824	80	2170
1808	112	2188
1776	112	2209
1712	176	2227
1648	144	2251
1456	208	2269
1360	192	2291
1248	224	2312
1136	208	2333
976	224	2354
896	256	2375
832	224	2393
784	256	2412
768	240	2432
800	240	2452
832	224	2469
880	240	2490
976	224	2508
1040	224	2527
1152	192	2548
1344	160	2571
1440	208	2591
1536	128	2611
1600	160	2631
1712	128	2652
1792	80	2672
1792	48	2691
1776	32	2712
1744	0	2732
1616	-32	2755
1536	-48	2775
1440	-80	2795
1344	-80	2816
1248	-96	2837
1056	-144	2856
976	-112	2876
912	-160	2895
864	-160	2914
832	-176	2933
816	-176	2955
848	-144	2974
880	-160	2995
944	-128	3016
1008	-128	3036
1184	-96	3056
1296	-96	3076
1376	-64	3094
1472	-32	3115
1648	-32	3136
1680	64	3157
1760	16	3179
1760	80	3200
1728	128	3220
1712	128	3240
1632	160	3260
1552	176	3281
1376	208	3299
1280	208	3319
1200	208	3338
1088	224	3358
992	224	3379
864	224	3399
832	240	3419
816	224	3440
800	240	3459
800	240	3478
896	192	3496
928	240	3514
1024	224	3536
1088	208	3557
1248	144	3579
1376	208	3600
1472	160	3620
1552	128	3641
1680	112	3662
1712	96	3683
1728	64	3701
1728	32	3722
1712	16	3743
1600	-48	3764
1536	-32	3786
1456	-64	3807
1264	-96	3828
1184	-112	3848
1104	-112	3869
1024	-128	3890
896	-144	3910
864	-144	3928
848	-160	3949
832	-144	3970
880	-128	3992
928	-144	4013
992	-112	4034
1056	-128	4055
1248	-112	4076
1328	-48	4095
1424	-64	4113
1488	0	4134
1616	32	4155
1680	32	4176
1696	48	4197
1696	96	4216
1648	144	4239
1600	128	4259
1536	160	4279
1456	160	4299
1296	224	4316
1184	144	4334
1136	272	4353
1040	192	4372
960	256	4395
864	240	4417
832	240	4438
816	208	4458
832	272	4478
880	256	4499
928	192	4520
992	224	4541
1072	192	4559
1232	224	4580
1344	112	4598
1408	208	4616
1488	96	4634
1552	160	4653
1616	80	4672
1680	64	4693
1664	32	4714
1648	48	4735
1616	-16	4756
1520	-64	4774
1424	-48	4793
1360	-80	4811
1264	-64	4831
1184	-112	4852
1104	-144	4873
976	-128	4894
912	-128	4915
880	-160	4934
864	-128	4954
864	-128	4975
896	-144	4996
928	-128	5017
992	-112	5038
1136	-64	5057
1216	-96	5080
1296	-64	5101
1472	-32	5122
1504	0	5142
1584	0	5162
1616	48	5181
1632	48	5202
1632	96	5224
1600	128	5245
1568	128	5267
1440	160	5288
1360	176	5309
1280	176	5329
1200	192	5349
1056	208	5369
976	240	5387
928	192	5405
880	240	5424
848	208	5446
848	240	5467
864	224	5489
896	208	5509
928	208	5530
1072	192	5550
1152	208	5504
1216	160	5523
1296	176	5541
1376	144	5559
1456	144	5581
1568	112	5602
1600	96	5624
1616	48	5645
1616	16	5666
1584	16	5686
1520	-16	5706
1472	-32	5726
1424	-80	5747
1248	-80	5766
1184	-96	5785
1104	-96	5804
1024	-128	5824
976	-128	5845
912	-160	5866
880	-128	5886
880	-144	5907
880	-144	5930
960	-112	5949
992	-112	5967
1056	-112	5988
1120	-96	6009
1280	-48	6030
1360	-64	6048
1424	-16	6070
1488	16	6091
1584	32	6112
1600	48	6133
1600	80	6154
1584	128	6172
1520	128	6193
1472	160	6214
1408	160	6235
1344	176	6256
1200	208	6277
1120	192	6298
1040	208	6319
928	208	6340
896	224	6361
880	208	6381
848	240	6401
880	208	6420
912	208	6441
944	192	6462
1008	208	6483
1152	192	6501
1216	160	6523
1296	160	6545
1360	144	6565
1488	112	6585
1536	96	6605
1552	96	6624
1568	64	6645
1584	32	6667
1536	16	6688
1488	-16	6709
1440	-32	6729
